Time,u[0],d[0],x[0],x[1],x[2],y[0]
0,-0.732051,0,0.000999134,0.998269,1,0.732051
0.001,-0.731783,0,0.00199654,0.99654,1,0.731783
0.002,-0.731514,0,0.00299221,0.994812,1,0.731514
0.003,-0.731245,0,0.00398616,0.993087,1,0.731245
0.004,-0.730976,0,0.00497839,0.991364,1,0.730976
0.005,-0.730707,0,0.00596889,0.989643,1,0.730707
0.006,-0.730438,0,0.00695768,0.987924,1,0.730438
0.007,-0.730168,0,0.00794474,0.986206,1,0.730168
0.008,-0.729898,0,0.00893009,0.984491,1,0.729898
0.009,-0.729628,0,0.00991372,0.982778,1,0.729628
0.01,-0.729357,0,0.0108956,0.981067,1,0.729357
0.011,-0.729086,0,0.0118759,0.979357,1,0.729086
0.012,-0.728815,0,0.0128544,0.97765,1,0.728815
0.013,-0.728544,0,0.0138312,0.975945,1,0.728544
0.014,-0.728272,0,0.0148063,0.974241,1,0.728272
0.015,-0.728,0,0.0157796,0.97254,1,0.728
0.016,-0.727728,0,0.0167513,0.97084,1,0.727728
0.017,-0.727456,0,0.0177213,0.969143,1,0.727456
0.018,-0.727183,0,0.0186896,0.967448,1,0.727183
0.019,-0.72691,0,0.0196562,0.965754,1,0.72691
0.02,-0.726637,0,0.0206211,0.964062,1,0.726637
0.021,-0.726364,0,0.0215843,0.962373,1,0.726364
0.022,-0.72609,0,0.0225459,0.960685,1,0.72609
0.023,-0.725816,0,0.0235057,0.959,1,0.725816
0.024,-0.725542,0,0.0244639,0.957316,1,0.725542
0.025,-0.725268,0,0.0254203,0.955634,1,0.725268
0.026,-0.724993,0,0.0263751,0.953954,1,0.724993
0.027,-0.724718,0,0.0273283,0.952277,1,0.724718
0.028,-0.724443,0,0.0282797,0.950601,1,0.724443
0.029,-0.724168,0,0.0292295,0.948927,1,0.724168
0.03,-0.723892,0,0.0301776,0.947255,1,0.723892
0.031,-0.723616,0,0.031124,0.945585,1,0.723616
0.032,-0.72334,0,0.0320687,0.943917,1,0.72334
0.033,-0.723064,0,0.0330118,0.94225,1,0.723064
0.034,-0.722787,0,0.0339532,0.940586,1,0.722787
0.035,-0.72251,0,0.034893,0.938924,1,0.72251
0.036,-0.722233,0,0.0358311,0.937264,1,0.722233
0.037,-0.721956,0,0.0367675,0.935605,1,0.721956
0.038,-0.721678,0,0.0377023,0.933949,1,0.721678
0.039,-0.7214,0,0.0386354,0.932294,1,0.7214
0.04,-0.721122,0,0.0395669,0.930642,1,0.721122
0.041,-0.720844,0,0.0404967,0.928991,1,0.720844
0.042,-0.720565,0,0.0414249,0.927342,1,0.720565
0.043,-0.720287,0,0.0423514,0.925696,1,0.720287
0.044,-0.720008,0,0.0432762,0.924051,1,0.720008
0.045,-0.719728,0,0.0441995,0.922408,1,0.719728
0.046,-0.719449,0,0.0451211,0.920767,1,0.719449
0.047,-0.719169,0,0.046041,0.919128,1,0.719169
0.048,-0.718889,0,0.0469593,0.91749,1,0.718889
0.049,-0.718609,0,0.047876,0.915855,1,0.718609
0.05,-0.718328,0,0.048791,0.914222,1,0.718328
0.051,-0.718048,0,0.0497044,0.91259,1,0.718048
0.052,-0.717767,0,0.0506162,0.910961,1,0.717767
0.053,-0.717486,0,0.0515264,0.909333,1,0.717486
0.054,-0.717204,0,0.0524349,0.907707,1,0.717204
0.055,-0.716923,0,0.0533418,0.906084,1,0.716923
0.056,-0.716641,0,0.054247,0.904462,1,0.716641
0.057,-0.716359,0,0.0551507,0.902842,1,0.716359
0.058,-0.716077,0,0.0560527,0.901223,1,0.716077
0.059,-0.715794,0,0.0569531,0.899607,1,0.715794
0.06,-0.715511,0,0.0578519,0.897993,1,0.715511
0.061,-0.715228,0,0.0587491,0.896381,1,0.715228
0.062,-0.714945,0,0.0596447,0.89477,1,0.714945
0.063,-0.714662,0,0.0605387,0.893161,1,0.714662
0.064,-0.714378,0,0.061431,0.891555,1,0.714378
0.065,-0.714094,0,0.0623218,0.88995,1,0.714094
0.066,-0.71381,0,0.0632109,0.888347,1,0.71381
0.067,-0.713526,0,0.0640985,0.886746,1,0.713526
0.068,-0.713241,0,0.0649844,0.885147,1,0.713241
0.069,-0.712957,0,0.0658688,0.883549,1,0.712957
0.07,-0.712672,0,0.0667515,0.881954,1,0.712672
0.071,-0.712387,0,0.0676327,0.88036,1,0.712387
0.072,-0.712101,0,0.0685122,0.878769,1,0.712101
0.073,-0.711816,0,0.0693902,0.877179,1,0.711816
0.074,-0.71153,0,0.0702666,0.875591,1,0.71153
0.075,-0.711244,0,0.0711414,0.874005,1,0.711244
0.076,-0.710957,0,0.0720146,0.872421,1,0.710957
0.077,-0.710671,0,0.0728862,0.870838,1,0.710671
0.078,-0.710384,0,0.0737563,0.869258,1,0.710384
0.079,-0.710097,0,0.0746248,0.867679,1,0.710097
0.08,-0.70981,0,0.0754916,0.866103,1,0.70981
0.081,-0.709523,0,0.076357,0.864528,1,0.709523
0.082,-0.709235,0,0.0772207,0.862955,1,0.709235
0.083,-0.708948,0,0.0780829,0.861384,1,0.708948
0.084,-0.70866,0,0.0789435,0.859815,1,0.70866
0.085,-0.708371,0,0.0798025,0.858247,1,0.708371
0.086,-0.708083,0,0.08066,0.856682,1,0.708083
0.087,-0.707794,0,0.0815159,0.855118,1,0.707794
0.088,-0.707506,0,0.0823702,0.853556,1,0.707506
0.089,-0.707217,0,0.083223,0.851996,1,0.707217
0.09,-0.706927,0,0.0840742,0.850438,1,0.706927
0.091,-0.706638,0,0.0849239,0.848882,1,0.706638
0.092,-0.706348,0,0.085772,0.847327,1,0.706348
0.093,-0.706059,0,0.0866185,0.845775,1,0.706059
0.094,-0.705768,0,0.0874635,0.844224,1,0.705768
0.095,-0.705478,0,0.088307,0.842675,1,0.705478
