time,theta,q,e,H
0,0,1,-0.732050807568877,1
0.001,0.000999134307857388,0.998268948903798,-0.731782724523817,1
0.002,0.0019965385638971,0.996539896076128,-0.731514374261032,1
0.003,0.00299221476552229,0.99481283978644,-0.731245757511074,1
0.004,0.00398616490840611,0.993087778305183,-0.730976875003497,1
0.005,0.00497839098649261,0.991364709903806,-0.730707727466859,1
0.006,0.00596889499199782,0.989643632854758,-0.730438315628721,1
0.007,0.00695767891541071,0.987924545431488,-0.730168640215648,1
0.008,0.00794474474549419,0.986207445908447,-0.729898701953212,1
0.009,0.00893009446928615,0.984492332561082,-0.729628501565994,1
0.01,0.00991373007210039,0.982779203665842,-0.729358039777578,1
0.011,0.0108956535375277,0.981068057500178,-0.729087317310563,1
0.012,0.0118758668474367,0.979358892342537,-0.728816334886552,1
0.013,0.0128543719819752,0.977651706472369,-0.728545093226164,1
0.014,0.0138311709195708,0.975946498170123,-0.728273593049027,1
0.015,0.0148062656369319,0.974243265717247,-0.728001835073783,1
0.016,0.0157796581090492,0.972542007396191,-0.727729820018088,1
0.017,0.0167513503091961,0.970842721490402,-0.727457548598611,1
0.018,0.0177213442089299,0.969145406284329,-0.727185021531041,1
0.019,0.0186896417780931,0.96745006006342,-0.726912239530079,1
0.02,0.0196562449848139,0.965756681114125,-0.726639203309448,1
0.021,0.0206211557955077,0.964065267723889,-0.726365913581887,1
0.022,0.0215843761748775,0.962375818181162,-0.726092371059156,1
0.023,0.0225459080859157,0.960688330775391,-0.725818576452037,1
0.024,0.0235057534899041,0.959002803797023,-0.725544530470333,1
0.025,0.024463914346416,0.957319235537505,-0.725270233822867,1
0.026,0.0254203926133162,0.955637624289285,-0.72499568721749,1
0.027,0.0263751902467628,0.953957968345807,-0.724720891361077,1
0.028,0.0273283092012076,0.95228026600152,-0.724445846959525,1
0.029,0.0282797514293974,0.950604515551867,-0.724170554717763,1
0.03,0.029229518882375,0.948930715293295,-0.723895015339744,1
0.031,0.0301776135094801,0.947258863523249,-0.723619229528452,1
0.032,0.0311240372583505,0.945588958540174,-0.723343197985898,1
0.033,0.0320687920749226,0.943920998643512,-0.723066921413127,1
0.034,0.0330118799034331,0.942254982133708,-0.722790400510212,1
0.035,0.0339533026864194,0.940590907312205,-0.722513635976262,1
0.036,0.0348930623647211,0.938928772481445,-0.722236628509418,1
0.037,0.0358311608774804,0.937268575944871,-0.721959378806855,1
